Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56805 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56806 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56807 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 24
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 120
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 720
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 5040
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 40320
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 362880
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 3628800
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 39916800
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 479001600
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 6227020800
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 87178291200
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 1307674368000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 20922789888000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 355687428096000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 6402373705728000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 121645100408832000
Client IP: 127.0.0.1 ; Client Port: 56808 ; Factorial: 2432902008176640000
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 1
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 2
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 6
Client IP: 127.0.0.1 ; Client Port: 56809 ; Factorial: 24
